RefCty_ISO3countryCode,RefCty_NameWorkingEnglish,RefCty_RefReg_WHOregionCode,RefCty_UNICEFregion
ABW,Aruba,AMRO,LACRO
AFG,Afghanistan,EMRO,ROSA
AGO,Angola,AFRO,ESARO
AIA,Anguilla,AMRO,
ALB,Albania,EURO,CEE-CIS
AND,Andorra,EURO,Dev
ANT,Netherlands Antilles,AMRO,
ARE,UAE,EMRO,MENA
ARG,Argentina,AMRO,TACRO
ARM,Armenia,EURO,CEE-CIS
ASM,American Samoa,WPRO,
ATG,Antigua & Barbuda,AMRO,TACRO
AUS,Australia,WPRO,Dev
AUT,Austria,EURO,Dev
AZE,Azerbaijan,EURO,CEE-CIS
BDI,Burundi,AFRO,ESARO
BEL,Belgium,EURO,Dev
BEN,Benin,AFRO,WCARO
BFA,Burkina Faso,AFRO,WCARO
BGD,Bangladesh,SEARO,ROSA
BGR,Bulgaria,EURO,CEE-CIS
BHR,Bahrain,EMRO,MENA
BHS,Bahamas,AMRO,TACRO
BIH,Bosnia & Herzegovina,EURO,CEE-CIS
BLR,Belarus,EURO,CEE-CIS
BLZ,Belize,AMRO,TACRO
BMU,Bermuda,AMRO,
BOL,Bolivia,AMRO,TACRO
BRA,Brazil,AMRO,TACRO
BRB,Barbados,AMRO,TACRO
BRN,Brunei,WPRO,EAPRO
BTN,Bhutan,SEARO,ROSA
BWA,Botswana,AFRO,ESARO
CAF,CAR,AFRO,WCARO
CAN,Canada,AMRO,Dev
CAR,CAREC,AMRO,
CHE,Switzerland,EURO,Dev
CHL,Chile,AMRO,TACRO
CHN,China,WPRO,EAPRO
CIV,Côte d'Ivoire,AFRO,WCARO
CMR,Cameroon,AFRO,WCARO
COD,DRCongo,AFRO,WCARO
COG,Congo,AFRO,WCARO
COK,Cook Islands,WPRO,EAPRO
COL,Colombia,AMRO,TACRO
COM,Comoros,AFRO,ESARO
CPV,Cabo Verde,AFRO,WCARO
CRI,Costa Rica,AMRO,TACRO
CSK,Czechoslovakia,EURO,Dev
CUB,Cuba,AMRO,TACRO
CUW,Curaçao,AMRO,
CYM,Cayman Islands,AMRO,
CYP,Cyprus,EURO,MENA
CZE,Czechia,EURO,Dev
DDR,German Dem. Republic,EURO,
DEU,Germany,EURO,Dev
DJI,Djibouti,EMRO,MENA
DMA,Dominica,AMRO,TACRO
DNK,Denmark,EURO,Dev
DOM,Dominican Republic,AMRO,TACRO
DZA,Algeria,AFRO,MENA
ECU,Ecuador,AMRO,TACRO
EGY,Egypt,EMRO,MENA
ERI,Eritrea,AFRO,ESARO
ESP,Spain,EURO,Dev
EST,Estonia,EURO,Dev
ETH,Ethiopia,AFRO,ESARO
FIN,Finland,EURO,Dev
FJI,Fiji,WPRO,EAPRO
FRA,France,EURO,Dev
FSM,Micronesia,WPRO,EAPRO
GAB,Gabon,AFRO,WCARO
GBR,UK,EURO,Dev
GEO,Georgia,EURO,CEE-CIS
GHA,Ghana,AFRO,WCARO
GIN,Guinea,AFRO,WCARO
GLP,Guadeloupe,AMRO,
GMB,Gambia,AFRO,WCARO
GNB,Guinea-Bissau,AFRO,WCARO
GNQ,Equatorial Guinea,AFRO,WCARO
GRC,Greece,EURO,Dev
GRD,Grenada,AMRO,TACRO
GTM,Guatemala,AMRO,TACRO
GUF,French Guiana,AMRO,
GUM,Guam,WPRO,
GUY,Guyana,AMRO,TACRO
HKG,Hong Kong,WPRO,
HND,Honduras,AMRO,TACRO
HRV,Croatia,EURO,CEE-CIS
HTI,Haiti,AMRO,TACRO
HUN,Hungary,EURO,Dev
